@RELATION FEATURE_RUNSTATUS_MIPVerifySDP_cleanARPsamplefeatureset

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE trivialFeatures {ok,timeout,memout,presolved,crash,unknown,other}
@ATTRIBUTE LPbasedFeatures {ok,timeout,memout,presolved,crash,unknown,other}
@ATTRIBUTE NonContinuousFeatures {ok,timeout,memout,presolved,crash,unknown,other}
@ATTRIBUTE ContinuousFeatures {ok,timeout,memout,presolved,crash,unknown,other}
@ATTRIBUTE allVariablesFeatures {ok,timeout,memout,presolved,crash,unknown,other}
@ATTRIBUTE ProbingFeatures {ok,timeout,memout,presolved,crash,unknown,other}

@DATA
mip5138, 1, ok, ok, ok, ok, ok, ok
mip3548, 1, ok, ok, ok, ok, ok, ok
mip854, 1, ok, ok, ok, ok, ok, ok
mip167, 1, ok, ok, ok, ok, ok, ok
mip5107, 1, ok, ok, ok, ok, ok, ok
mip7836, 1, ok, ok, ok, ok, ok, ok
mip8120, 1, ok, ok, ok, ok, ok, ok
mip8349, 1, ok, ok, ok, ok, ok, ok
mip398, 1, ok, ok, ok, ok, ok, ok
mip6216, 1, ok, ok, ok, ok, ok, ok
mip222, 1, ok, ok, ok, ok, ok, ok
mip5521, 1, ok, ok, ok, ok, ok, ok
mip1067, 1, ok, ok, ok, ok, ok, ok
mip251, 1, ok, ok, ok, ok, ok, ok
mip4138, 1, ok, ok, ok, ok, ok, ok
mip7123, 1, ok, ok, ok, ok, ok, ok
mip4858, 1, ok, ok, ok, ok, ok, ok
mip2893, 1, ok, ok, ok, ok, ok, ok
mip6910, 1, ok, ok, ok, ok, ok, ok
mip27, 1, ok, ok, ok, ok, ok, ok
mip3498, 1, ok, ok, ok, ok, ok, ok
mip3642, 1, ok, ok, ok, ok, ok, ok
mip4396, 1, ok, ok, ok, ok, ok, ok
mip187, 1, ok, ok, ok, ok, ok, ok
mip7357, 1, ok, ok, ok, ok, ok, ok
mip5732, 1, ok, ok, ok, ok, ok, ok
mip3943, 1, ok, ok, ok, ok, ok, ok
mip6472, 1, ok, ok, ok, ok, ok, ok
mip5834, 1, ok, ok, ok, ok, ok, ok
mip6293, 1, ok, ok, ok, ok, ok, ok
mip5787, 1, ok, ok, ok, ok, ok, ok
mip107, 1, ok, ok, ok, ok, ok, ok
mip6162, 1, ok, ok, ok, ok, ok, ok
mip426, 1, ok, ok, ok, ok, ok, ok
mip8653, 1, ok, ok, ok, ok, ok, ok
mip7650, 1, ok, ok, ok, ok, ok, ok
mip7953, 1, ok, ok, ok, ok, ok, ok
mip9492, 1, ok, ok, ok, ok, ok, ok
mip7584, 1, ok, ok, ok, ok, ok, ok
mip4912, 1, ok, ok, ok, ok, ok, ok
mip6580, 1, ok, ok, ok, ok, ok, ok
mip7024, 1, ok, ok, ok, ok, ok, ok
mip5548, 1, ok, ok, ok, ok, ok, ok
mip3283, 1, ok, ok, ok, ok, ok, ok
mip9887, 1, ok, ok, ok, ok, ok, ok
mip5970, 1, ok, ok, ok, ok, ok, ok
mip2254, 1, ok, ok, ok, ok, ok, ok
mip3746, 1, ok, ok, ok, ok, ok, ok
mip5672, 1, ok, ok, ok, ok, ok, ok
mip53, 1, ok, ok, ok, ok, ok, ok
mip9659, 1, ok, ok, ok, ok, ok, ok
mip438, 1, ok, ok, ok, ok, ok, ok
mip7804, 1, ok, ok, ok, ok, ok, ok
mip338, 1, ok, ok, ok, ok, ok, ok
mip8808, 1, ok, ok, ok, ok, ok, ok
mip6887, 1, ok, ok, ok, ok, ok, ok
mip1053, 1, ok, ok, ok, ok, ok, ok
mip5328, 1, ok, ok, ok, ok, ok, ok
