@RELATION FEATURE_RUNSTATUS_sanitycheck

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE trivialFeatures {ok,timeout,memout,presolved,crash,unknown,other}


@DATA
mip1860, 1, ok
mip1861, 1, ok
mip1862, 1, ok
mip1863, 1, ok
mip1864, 1, ok
mip1865, 1, ok
mip1866, 1, ok
mip1867, 1, ok
mip1868, 1, ok
mip1869, 1, ok
mip187, 1, ok
mip1870, 1, ok
mip1871, 1, ok
mip1872, 1, ok
mip1873, 1, ok
mip1874, 1, ok
mip1875, 1, ok
mip1876, 1, ok
mip1877, 1, ok
mip1878, 1, ok
mip1879, 1, ok
mip188, 1, ok
mip1880, 1, ok
mip1881, 1, ok
mip1882, 1, ok
mip1883, 1, ok
mip1884, 1, ok
mip1885, 1, ok
mip1886, 1, ok
mip1887, 1, ok
mip1888, 1, ok
mip1889, 1, ok
mip189, 1, ok
mip1890, 1, ok
mip1891, 1, ok
mip1892, 1, ok
mip1893, 1, ok
mip1894, 1, ok
mip1895, 1, ok
mip1896, 1, ok
mip1897, 1, ok
mip1898, 1, ok
mip1899, 1, ok
mip19, 1, ok
mip190, 1, ok
mip1900, 1, ok
mip1901, 1, ok
mip1902, 1, ok
mip1903, 1, ok
mip1904, 1, ok
mip1905, 1, ok
mip1906, 1, ok
mip1907, 1, ok
mip1908, 1, ok
mip1909, 1, ok
mip191, 1, ok
mip1910, 1, ok
mip1911, 1, ok
mip1912, 1, ok
mip1913, 1, ok
mip1914, 1, ok
mip1915, 1, ok
mip1916, 1, ok
mip1917, 1, ok
mip1918, 1, ok
mip1919, 1, ok
mip192, 1, ok
mip1920, 1, ok
mip1921, 1, ok
mip1922, 1, ok
mip1923, 1, ok
mip1924, 1, ok
mip1925, 1, ok
mip1926, 1, ok
mip1927, 1, ok
mip1928, 1, ok
mip1929, 1, ok
mip193, 1, ok
mip1930, 1, ok
mip1931, 1, ok
mip1932, 1, ok
mip1933, 1, ok
mip1934, 1, ok
mip1935, 1, ok
mip1936, 1, ok
mip1937, 1, ok
mip1938, 1, ok
mip1939, 1, ok
mip194, 1, ok
mip1940, 1, ok
mip1941, 1, ok
mip1942, 1, ok
mip1943, 1, ok
mip1944, 1, ok
mip1945, 1, ok
mip1946, 1, ok
mip1947, 1, ok
mip1948, 1, ok
mip1949, 1, ok
mip195, 1, ok
mip1950, 1, ok
mip1951, 1, ok
mip1952, 1, ok
mip1953, 1, ok
mip1954, 1, ok
mip1955, 1, ok
mip1956, 1, ok
mip1957, 1, ok
mip1958, 1, ok
mip1959, 1, ok
mip196, 1, ok
mip1960, 1, ok
mip1961, 1, ok
mip1962, 1, ok
mip1963, 1, ok
mip1964, 1, ok
mip1965, 1, ok
mip1966, 1, ok
mip1967, 1, ok
mip1968, 1, ok
mip1969, 1, ok
mip197, 1, ok
mip1970, 1, ok
mip1971, 1, ok
mip1972, 1, ok
mip1973, 1, ok
mip1974, 1, ok
mip1975, 1, ok
mip1976, 1, ok
mip1977, 1, ok
mip1978, 1, ok
mip1979, 1, ok
mip198, 1, ok
mip1980, 1, ok
mip1981, 1, ok
mip1982, 1, ok
mip1983, 1, ok
mip1984, 1, ok
mip1985, 1, ok
mip1986, 1, ok
mip1987, 1, ok
mip1988, 1, ok
mip1989, 1, ok
mip199, 1, ok
mip1990, 1, ok
mip1991, 1, ok
mip1992, 1, ok
mip1993, 1, ok
mip1994, 1, ok
mip1995, 1, ok
mip1996, 1, ok
mip1997, 1, ok
mip1998, 1, ok
mip1999, 1, ok
mip2, 1, ok
mip20, 1, ok
mip200, 1, ok
mip2000, 1, ok
mip2001, 1, ok
mip2002, 1, ok
mip2003, 1, ok
mip2004, 1, ok
mip2005, 1, ok
mip2006, 1, ok
mip2007, 1, ok
mip2008, 1, ok
mip2009, 1, ok
mip201, 1, ok
mip2010, 1, ok
mip2011, 1, ok
mip2012, 1, ok
mip2013, 1, ok
mip2014, 1, ok
mip2015, 1, ok
mip2016, 1, ok
mip2017, 1, ok
mip2018, 1, ok
mip2019, 1, ok
mip202, 1, ok
mip2020, 1, ok
mip2021, 1, ok
mip2022, 1, ok
mip2023, 1, ok
mip2024, 1, ok
mip2025, 1, ok
mip2026, 1, ok
mip2027, 1, ok
mip2028, 1, ok
mip2029, 1, ok
mip203, 1, ok
mip2030, 1, ok
mip2031, 1, ok
mip2032, 1, ok
mip2033, 1, ok
mip2034, 1, ok
mip2035, 1, ok
mip2036, 1, ok
mip2037, 1, ok
mip2038, 1, ok
mip2039, 1, ok
mip204, 1, ok
mip2040, 1, ok
mip2041, 1, ok
mip2042, 1, ok
mip2043, 1, ok
mip2044, 1, ok
mip2045, 1, ok
mip2046, 1, ok
mip2047, 1, ok
mip2048, 1, ok
mip2049, 1, ok
mip205, 1, ok
mip2050, 1, ok
mip2051, 1, ok
mip2052, 1, ok
mip2053, 1, ok
mip2054, 1, ok
mip2055, 1, ok
mip2056, 1, ok
mip2057, 1, ok
mip2058, 1, ok
mip2059, 1, ok
mip206, 1, ok
mip2060, 1, ok
mip2061, 1, ok
mip2062, 1, ok
mip2063, 1, ok
mip2064, 1, ok
mip2065, 1, ok
mip2066, 1, ok
mip2067, 1, ok
mip2068, 1, ok
mip2069, 1, ok
mip207, 1, ok
mip2070, 1, ok
mip2071, 1, ok
mip2072, 1, ok
mip2073, 1, ok
mip2074, 1, ok
mip2075, 1, ok
mip2076, 1, ok
mip2077, 1, ok
mip2078, 1, ok
mip2079, 1, ok
mip208, 1, ok
mip2080, 1, ok
mip2081, 1, ok
mip2082, 1, ok
mip2083, 1, ok
mip2084, 1, ok
mip2085, 1, ok
mip2086, 1, ok
mip2087, 1, ok
mip2088, 1, ok
mip2089, 1, ok
mip209, 1, ok
mip2090, 1, ok
mip2091, 1, ok
mip2092, 1, ok
mip2093, 1, ok
mip2094, 1, ok
mip2095, 1, ok
mip2096, 1, ok
mip2097, 1, ok
mip2098, 1, ok
mip2099, 1, ok
mip21, 1, ok
mip210, 1, ok
mip2100, 1, ok
mip2101, 1, ok
mip2102, 1, ok
mip2103, 1, ok
mip2104, 1, ok
mip2105, 1, ok
mip2106, 1, ok
mip2107, 1, ok
mip2108, 1, ok
mip2109, 1, ok
mip211, 1, ok
mip2110, 1, ok
mip2111, 1, ok
mip2112, 1, ok
mip2113, 1, ok
mip2114, 1, ok
mip2115, 1, ok
